dept,number,name,section,term,credits,mode,instructor
EECS,598,Special Topics,Section 008 (LEC) Formal Verification of Hardware and Software Systems,FA 2020,3,Online,"Sakallah,Karem A"
EECS,598,Special Topics,Section 010 (LEC) Approximation Algorithms and Hardness of Approximation,FA 2020,3,Online,"Lee,Eui Woong"
EECS,598,Special Topics,Section 013 (LEC) Randomness and Computation,FA 2020,3,Online,"Cheraghchi, Mahdi"
EECS,598,Special Topics,Section 015 (LEC) Introduction to CSE Graduate Studies,FA 2020,1,Person,"Fouhey,David Ford Instructor: Sample,Alanson"
EECS,598,Special Topics,Section 017 (LEC) Advanced Topics in Natural Language Processing with Deep Learning,FA 2020,3,Hybrid,"Wang,Lu"
EECS,598,Special Topics,Section 906 (LEC) Program Synthesis: Techniques and Applications,FA 2020,3,Online,"Wang,Xinyu"
EECS,598,Special Topics,Section 914 (LEC) Integrated Nanophotonics,FA 2020,3,Hybrid,"Deotare, Parag B"
EECS,598,Special Topics,Section 917 (LEC) Advanced Topics in Natural Language Processing with Deep Learning,FA 2020,3,Online,"Wang,Lu"
EECS,183,Elementary Programming Concepts,Section 002 (LEC),FA 2020,4,Online,"Diaz,Kimberly Khalsa"
EECS,183,Elementary Programming Concepts,Section 004 (LEC),FA 2020,4,Online,"Diaz,Kimberly Khalsa"
EECS,183,Elementary Programming Concepts,Section 006 (LEC),FA 2020,4,Online,"Honeyman,Peter"
EECS,200,Electrical Engineering Systems Design I,Section 001 (LEC),FA 2020,credit).,Hybrid,"Pierce,Leland E"
EECS,201,Computer Science Pragmatics,Section 001 (LEC),FA 2020,credit).,Online,"Nguyen,Brandon Trinh"
EECS,203,Discrete Math,Section 002 (LEC),FA 2020,4,Online,
EECS,203,Discrete Math,Section 004 (LEC),FA 2020,4,Online,
EECS,203,Discrete Math,Section 006 (LEC),FA 2020,4,Online,
EECS,215,Introduction to Electronic Circuits,Section 002 (LEC),FA 2020,credit).,Online,"Terry Jr,Fred Lewis"
EECS,230,Engineering Electromagnetics,Section 001 (LEC),FA 2020,credit).,Online,"Michielssen,Eric"
EECS,280,Programming and Introductory Data Structures,Section 001 (LEC),FA 2020,4,Online,"Hamilton,Nicole"
EECS,280,Programming and Introductory Data Structures,Section 003 (LEC),FA 2020,4,Online,"Hamilton,Nicole"
EECS,280,Programming and Introductory Data Structures,Section 005 (LEC),FA 2020,4,Online,"Beaumont,Jonathan Bruce"
EECS,281,Data Structures and Algorithms,Section 001 (LEC),FA 2020,4,Online,"Darden,Marcus M"
EECS,281,Data Structures and Algorithms,Section 003 (LEC),FA 2020,4,Online,"Paoletti,David R"
EECS,281,Data Structures and Algorithms,Section 005 (LEC),FA 2020,4,Online,"Garcia-Ramirez,Hector"
EECS,285,Practical Programming in Java,Section 001 (LEC),FA 2020,2,Online,
EECS,311,Analog Circuits,Section 001 (LEC),FA 2020,credit).,Online,"Flynn,Michael"
EECS,314,"Electrical Circuits, Systems and Applications",Section 001 (LEC),FA 2020,credit).,Online,"Ganago,Alexander O"
EECS,330,Introduction to Antennas and Wireless Systems,Section 001 (LEC),FA 2020,credit).,Online,"Tsang,Leung"
EECS,351,Introduction to Digital Signal Processing,Section 001 (LEC),FA 2020,credit).,Hybrid,"Balzano,Laura Kathryn"
EECS,367,Introduction to Autonomous Robotics,Section 001 (LEC),FA 2020,credit).,Online,"Jenkins,Odest Chadwicke"
EECS,370,Introduction to Computer Organization,Section 002 (LEC),FA 2020,4,Online,"Narayanasamy,Satish Instructor: Arthur,William"
EECS,370,Introduction to Computer Organization,Section 004 (LEC),FA 2020,4,Online,"Beaumont,Jonathan Bruce"
EECS,376,Foundations of Computer Science,Section 001 (LEC),FA 2020,4,Online,"Kamil,Amir"
EECS,376,Foundations of Computer Science,Section 003 (LEC),FA 2020,4,Online,"Volkovich,Ilya"
EECS,388,Introduction to Computer Security,Section 001 (LEC),FA 2020,4,Online,"Genkin,Daniel Instructor: Mao, Z Morley"
EECS,399,Directed Study,Section 001 (IND),FA 2020,credit).,Person,
EECS,409,Data Science Seminar,Section 001 (SEM),FA 2020,credit).,Online,"Jagadish,Hosagrahar V"
EECS,411,M-Wave Circ I,Section 901 (LEC),FA 2020,credit).,Online,"Mortazawi,Amir"
EECS,413,Monolith Amplifier Circuits,Section 901 (LEC),FA 2020,credit).,Online,"Afshari,Ehsan"
EECS,414,Intro to MEMS,Section 881 (LEC),FA 2020,credit).,Online,"Yoon,Euisik"
EECS,421,Properties of Transistors,Section 001 (LEC),FA 2020,credit).,Online,"Ahmadi,Elaheh"
EECS,427,Very Large Scale Integrated Design I,Section 001 (LEC),FA 2020,4,Hybrid,"Sylvester,Dennis Michael"
EECS,428,Introduction to Quantum Nanotechnology,Section 001 (LEC),FA 2020,credit).,Online,"Steel,Duncan G"
EECS,434,Princ of Photonics,Section 881 (LEC),FA 2020,credit).,Online,"Islam,Mohammed Nazrul"
EECS,438,Adv Lasers Lab,Section 001 (LEC),FA 2020,credit).,Hybrid,"Deotare, Parag B"
EECS,441,Mobile App Development for Entrepreneurs,Section 002 (LEC),FA 2020,4,Online,"Soloway,Elliot"
EECS,441,Mobile App Development for Entrepreneurs,Section 004 (LEC),FA 2020,4,Online,"Jamin,Sugih"
EECS,443,Senior ThesisL,Section 001 (IND),FA 2020,3,Person,
EECS,445,Introduction to Machine Learning,Section 002 (LEC),FA 2020,4,Online,"Kutty,Sindhu Krishnan"
EECS,452,Digital Signal Processing Design Laboratory,Section 901 (LEC),FA 2020,credit).,Online,"Kim,Hun Seok"
EECS,455,Wireless Communication Systems,Section 901 (LEC),FA 2020,credit).,Online,"Stark,Wayne E"
EECS,460,Control Systems Analysis and Design,Section 001 (LEC),FA 2020,credit).,Online,"Seiler,Peter Joseph"
EECS,463,Power Systems Design and Operations,Section 001 (LEC),FA 2020,credit).,Online,"Hiskens,Ian"
EECS,470,Computer Architecture,Section 001 (LEC),FA 2020,4,Online,"Dreslinski Jr,Ronald"
EECS,477,Introduction to  Algorithms,Section 001 (LEC),FA 2020,4,Online,"Pettie,Seth"
EECS,481,Software Engineering,Section 001 (LEC),FA 2020,4,Online,"Weimer,Westley R"
EECS,482,Introduction to Operating Systems,Section 001 (LEC),FA 2020,4,Online,"Madhyastha,Harsha Instructor: Noble,Brian D"
EECS,484,Database Management Systems,Section 001 (LEC),FA 2020,4,Online,"Leach,Kevin Instructor: Mozafari,Barzan"
EECS,485,Web Systems,Section 001 (LEC),FA 2020,4,Online,"DeOrio,Andrew Whitehouse"
EECS,485,Web Systems,Section 003 (LEC),FA 2020,4,Online,"Almomani,Raed"
EECS,485,Web Systems,Section 005 (LEC),FA 2020,4,Online,"DeOrio,Andrew Whitehouse"
EECS,490,Programming Languages,Section 001 (LEC),FA 2020,4,Online,"Omar,Cyrus"
EECS,493,User Interface Development,Section 001 (LEC),FA 2020,4,Online,"Ackerman,Mark S"
EECS,494,Computer Game Design and Development,Section 001 (LEC),FA 2020,4,Online,"Yarger,Austin David"
EECS,496,Major Design Experience-Professionalism,Section 001 (LEC),FA 2020,2,Online,"Subramanian,Vijay Gautam"
EECS,497,Human-Centered Software Design and Development,Section 002 (LEC),FA 2020,4,Online,"Ringenberg, Jeff"
EECS,498,Special Topics,Section 002 (LEC) Advanced Operating Systems Projects,FA 2020,2,Online,"Madhyastha,Harsha Instructor: Noble,Brian D"
EECS,498,Special Topics,Section 004 (LEC) Cybersecurity for Future Leaders,FA 2020,3,Hybrid,"Ali,Mustafa Jave Instructor: Landwehr,Carl Edward"
EECS,498,Special Topics,Section 006 (LEC) Conversational Artificial Intelligence: Principles and Practice of Virtual Assistant AI,FA 2020,4,Online,"Mars,Jason"
EECS,498,Special Topics,Section 008 (LEC) Power Electronics Lectures,FA 2020,3,Online,"Avestruz,Al-Thaddeus"
EECS,498,Special Topics,Section 904 (LEC) Cybersecurity for Future Leaders,FA 2020,3,Online,"Ali,Mustafa Jave Instructor: Landwehr,Carl Edward"
EECS,501,Probability and Random Processes,Section 001 (LEC),FA 2020,credit).,Online,"Mahdavifar,Hessam"
EECS,520,Solid State Physics,Section 001 (LEC),FA 2020,credit).,Online,"Zhong,Zhaohui"
EECS,530,Electromagnetic Theory I,Section 001 (LEC),FA 2020,3,Person,"Sarabandi,Kamal"
EECS,540,Applied Quantum Mechanics,Section 901 (LEC),FA 2020,3,Online,"Kira, Mackillo"
EECS,545,Machine Learning,Section 001 (LEC),FA 2020,3,Online,"Scott,Clayton D"
EECS,551,"Matrix Methods for Signal Processing, Data Analysis and Machine Learning",Section 001 (LEC),FA 2020,credit).,Online,"Fessler,Jeffrey A"
EECS,560,Linear Systems Theory,Section 001 (LEC),FA 2020,credit).,Online,"Gillespie, Brent"
EECS,563,Hybrid Systems Analysis and Control,Section 901 (LEC),FA 2020,credit).,Online,"Ozay,Necmiye"
EECS,582,Advanced Operating Systems,Section 001 (LEC),FA 2020,4,Online,"Kasikci,Baris Can Cengiz"
EECS,587,Parallel Computing,Section 001 (LEC),FA 2020,4,Online,"Stout,Quentin F"
EECS,595,Natural Language Processing,Section 001 (LEC),FA 2020,3,Online,"Chai,Joyce"
EECS,598,Special Topics,Section 002 (LEC) Human-Computer Interaction,FA 2020,3,Online,"Banovic,Nikola"
EECS,598,Special Topics,Section 004 (LEC) Plasma Chemistry and Plasma Surface Interactions,FA 2020,3,Hybrid,"Kushner,Mark"
EECS,598,Special Topics,Section 006 (LEC) Program Synthesis: Techniques and Applications,FA 2020,3,Hybrid,"Wang,Xinyu"
EECS,598,Special Topics,Section 009 (LEC) Applied Parallel Programming with GPUs,FA 2020,4,Online,"Das,Reetuparna"
EECS,598,Special Topics,Section 012 (LEC) Electromagnetic Metamaterials,FA 2020,3,Hybrid,"Grbic,Anthony"
EECS,598,Special Topics,Section 014 (LEC) Integrated Nanophotonics,FA 2020,3,Hybrid,"Deotare, Parag B"
EECS,598,Special Topics,Section 016 (LEC) Election Cybersecurity,FA 2020,4,Online,"Halderman, J Alex"
EECS,598,Special Topics,Section 904 (LEC) Plasma Chemistry and Plasma Surface Interactions,FA 2020,3,Hybrid,"Kushner,Mark"
EECS,598,Special Topics,Section 912 (LEC) Electromagnetic Metamaterials,FA 2020,3,Online,"Grbic,Anthony"
EECS,598,Special Topics,Section 915 (LEC) Introduction to CSE Graduate Studies,FA 2020,1,Online,"Fouhey,David Ford Instructor: Sample,Alanson"
EECS,599,Directed Study,Section 001 (IND),FA 2020,credit).,Person,
ELI,131,Interactive Communication,Section 001 (SEM),FA 2020,1,Online,"Romano Gillette, Carmela"
ELI,390,Community-Engaged Learning in ESL Teaching Contexts,Section 001 (SEM),FA 2020,3,Online,"Romano Gillette, Carmela"
ELI,399,Individual Research and Study,Section 001 (IND),FA 2020,4,Online,
ELI,236,Pronunciation I,Section 001 (SEM),FA 2020,1,Online,"Bogart, Pamela S H"
ELI,390,Community-Engaged Learning in ESL Teaching Contexts,Section 002 (SEM),FA 2020,3,Online,"Dyer,Judy A"
ENGLISH,124,Academic Writing and Literature,Section 001 (REC),FA 2020,4,Online,"Cimon,Jason"
ENGLISH,124,Academic Writing and Literature,Section 003 (REC) Literature and Science,FA 2020,4,Online,"Cobblah,Anoff"
ENGLISH,124,Academic Writing and Literature,Section 005 (REC),FA 2020,4,Online,"Harlow,Elizabeth"
ENGLISH,124,Academic Writing and Literature,Section 007 (REC) Making Humans,FA 2020,4,Online,"Kolenda-Mason, Margo"
ENGLISH,124,Academic Writing and Literature,Section 009 (REC),FA 2020,4,Hybrid,"Cullinane,Steven"
ENGLISH,124,Academic Writing and Literature,Section 011 (REC),FA 2020,4,Person,
ENGLISH,124,Academic Writing and Literature,Section 013 (REC),FA 2020,4,Online,"Swanson,Fritz Garner"
ENGLISH,124,Academic Writing and Literature,Section 015 (REC),FA 2020,4,Online,"Frasure,Derek"
ENGLISH,124,Academic Writing and Literature,Section 017 (REC) MythBusters,FA 2020,4,Online,"Gillum,Anthony"
ENGLISH,124,Academic Writing and Literature,Section 019 (REC),FA 2020,4,Online,"Ramsey,Alexander"
ENGLISH,124,Academic Writing and Literature,Section 021 (REC),FA 2020,4,Online,"Sarpy,Gabrielle"
ENGLISH,124,Academic Writing and Literature,Section 023 (REC),FA 2020,4,Online,"Jabbari, Mason"
ENGLISH,124,Academic Writing and Literature,Section 025 (REC) New Yorker Fiction Podcast,FA 2020,4,Person,"Van Cleve,Sarah"
ENGLISH,124,Academic Writing and Literature,Section 027 (REC),FA 2020,4,Online,"Cullinane,Steven"
ENGLISH,125,Writing and Academic Inquiry,Section 001 (REC),FA 2020,4,Online,"Geiger,Lauren"
ENGLISH,125,Writing and Academic Inquiry,Section 003 (REC),FA 2020,4,Online,"Burgess, Danielle"
ENGLISH,125,Writing and Academic Inquiry,Section 005 (REC) Writing Science,FA 2020,4,Hybrid,"Lu,Hongling"
ENGLISH,125,Writing and Academic Inquiry,Section 007 (REC),FA 2020,4,Online,"Burch,Aaron Matthew"
ENGLISH,125,Writing and Academic Inquiry,"Section 009 (REC) Love, Intimacy, and Queer Youth in the Middle East",FA 2020,4,Online,"Kayaal,Tugce"
ENGLISH,125,Writing and Academic Inquiry,Section 011 (REC),FA 2020,4,Hybrid,"McCracken,Samuel"
ENGLISH,125,Writing and Academic Inquiry,Section 013 (REC) Survival and Resistance from the Margins of U.S. Politics,FA 2020,4,Online,"Peterson,Lucy"
ENGLISH,125,Writing and Academic Inquiry,Section 015 (REC),FA 2020,4,Online,"Tunstall,Sydney"
ENGLISH,125,Writing and Academic Inquiry,Section 017 (REC),FA 2020,4,Online,"Uluc,Berkay"
ENGLISH,125,Writing and Academic Inquiry,Section 019 (REC),FA 2020,4,Online,"Dobjensky,Maya"
ENGLISH,125,Writing and Academic Inquiry,Section 021 (REC),FA 2020,4,Hybrid,"Reel,Scott"
ENGLISH,125,Writing and Academic Inquiry,Section 023 (REC),FA 2020,4,Person,
ENGLISH,125,Writing and Academic Inquiry,Section 025 (REC),FA 2020,4,Online,"Braun,Leila"
ENGLISH,125,Writing and Academic Inquiry,Section 027 (REC),FA 2020,4,Online,"Boger,Klara"
ENGLISH,125,Writing and Academic Inquiry,Section 029 (REC),FA 2020,4,Hybrid,"Owada,Sydney"
ENGLISH,125,Writing and Academic Inquiry,Section 031 (REC),FA 2020,4,Online,"Lynch,Molly"
ENGLISH,125,Writing and Academic Inquiry,"Section 033 (REC) DRAG! Gender, Race, Performance, Resistance",FA 2020,4,Hybrid,"Hollenbach,Benjamin"
ENGLISH,125,Writing and Academic Inquiry,Section 035 (REC),FA 2020,4,Online,"Afshar,Sara"
ENGLISH,125,Writing and Academic Inquiry,"Section 037 (REC) Writing Advocacy: Our Communities, Our Selves",FA 2020,4,Online,"Ordonez,Olivia"
ENGLISH,125,Writing and Academic Inquiry,Section 039 (REC),FA 2020,4,Online,"Moss,Dana"
ENGLISH,125,Writing and Academic Inquiry,Section 041 (REC),FA 2020,4,Online,"Valdez,Catherine"
ENGLISH,125,Writing and Academic Inquiry,Section 043 (REC) Prisoners of the Past? A Glimpse Inside the Politics of Memory,FA 2020,4,Online,"Kitaevich, Jane"
ENGLISH,125,Writing and Academic Inquiry,Section 045 (REC),FA 2020,4,Hybrid,"Wong Gonzales,Wilkinson Daniel"
ENGLISH,125,Writing and Academic Inquiry,Section 047 (REC),FA 2020,4,Online,"Christman,Philip"
ENGLISH,125,Writing and Academic Inquiry,Section 049 (REC),FA 2020,4,Online,"Ventura,Catherine"
ENGLISH,125,Writing and Academic Inquiry,Section 051 (REC),FA 2020,4,Online,"Bruno,Robert"
ENGLISH,125,Writing and Academic Inquiry,Section 053 (REC),FA 2020,4,Online,"Allen, K E"
ENGLISH,125,Writing and Academic Inquiry,Section 055 (REC),FA 2020,4,Online,"Wickham,Henry"
ENGLISH,125,Writing and Academic Inquiry,Section 057 (REC),FA 2020,4,Online,"Tessier,Randall L"
ENGLISH,125,Writing and Academic Inquiry,Section 059 (REC),FA 2020,4,Online,"Ferszt,Elizabeth A"
ENGLISH,125,Writing and Academic Inquiry,Section 061 (REC),FA 2020,4,Online,"Cordell,Jeffrey E"
ENGLISH,125,Writing and Academic Inquiry,Section 063 (REC),FA 2020,4,Person,
ENGLISH,125,Writing and Academic Inquiry,"Section 065 (REC) ""In my own words"": Reading, Writing, and Identity",FA 2020,4,Online,"Cornel, Anna"
ENGLISH,125,Writing and Academic Inquiry,Section 067 (REC),FA 2020,4,Hybrid,"Cruz Bento,Ana Sofia"
ENGLISH,125,Writing and Academic Inquiry,Section 069 (REC),FA 2020,4,Hybrid,"Puckett,Torre"
ENGLISH,125,Writing and Academic Inquiry,Section 071 (REC),FA 2020,4,Hybrid,"Henzy,Martha"
ENGLISH,125,Writing and Academic Inquiry,Section 073 (REC),FA 2020,4,Online,"Lynch,Molly"
ENGLISH,125,Writing and Academic Inquiry,Section 075 (REC),FA 2020,4,Online,"McLemore,Latara"
ENGLISH,125,Writing and Academic Inquiry,Section 077 (REC),FA 2020,4,Online,"Bruno,Robert"
ENGLISH,125,Writing and Academic Inquiry,Section 079 (REC),FA 2020,4,Online,"Christman,Philip"
ENGLISH,125,Writing and Academic Inquiry,Section 081 (REC),FA 2020,4,Online,"Pandey,Jaideep"
ENGLISH,125,Writing and Academic Inquiry,Section 083 (REC),FA 2020,4,Online,"Song, Joey Joon"
ENGLISH,125,Writing and Academic Inquiry,Section 085 (REC),FA 2020,4,Online,"Hoffman,Michael J"
ENGLISH,125,Writing and Academic Inquiry,Section 087 (REC),FA 2020,4,Person,
ENGLISH,125,Writing and Academic Inquiry,Section 089 (REC),FA 2020,4,Online,"Bransfield,Audrey"
ENGLISH,125,Writing and Academic Inquiry,Section 091 (REC),FA 2020,4,Online,"Buckley,John"
ENGLISH,125,Writing and Academic Inquiry,Section 093 (REC),FA 2020,4,Online,"John,Nathan"
ENGLISH,125,Writing and Academic Inquiry,Section 095 (REC),FA 2020,4,Online,"Bode,Catalina"
ENGLISH,125,Writing and Academic Inquiry,Section 097 (REC),FA 2020,4,Online,"McCracken,Samuel"
ENGLISH,125,Writing and Academic Inquiry,Section 099 (REC),FA 2020,4,Person,"Reel,Scott"
ENGLISH,125,Writing and Academic Inquiry,Section 101 (REC),FA 2020,4,Online,"Parra Garcia,Ivan"
ENGLISH,125,Writing and Academic Inquiry,Section 103 (REC),FA 2020,4,Online,
ENGLISH,126,Community-Engaged Writing,Section 002 (REC),FA 2020,4,Online,"Van Zanen,Kathryn Annette"
ENGLISH,126,Community-Engaged Writing,Section 004 (REC),FA 2020,4,Online,"Duan,Carlina"
ENGLISH,140,First-Year Seminar on English Language and Literature,Section 002 (SEM) Detective Fiction,FA 2020,3,Online,"Mecklenburg,Anne"
ENGLISH,140,First-Year Seminar on English Language and Literature,Section 004 (SEM) The Literature of Passing,FA 2020,3,Online,"Levy-Hussen,Aida"
ENGLISH,140,First-Year Seminar on English Language and Literature,Section 006 (SEM) Radicals in the American Renaissance,FA 2020,3,Online,"Martin,Ross"
ENGLISH,215,Introduction to Women and Literature,"Section 001 (LEC) Women, Rhetoric, Activism",FA 2020,3,Online,"Gold,David Phillip"
ENGLISH,221,Literature and Writing Outside the Classroom,Section 001 (REC),FA 2020,3,Hybrid,"Christman,Philip"
ENGLISH,223,Creative Writing,Section 001 (REC),FA 2020,3,Online,"Crowder,Christopher"
ENGLISH,223,Creative Writing,Section 003 (REC),FA 2020,3,Person,"Notah, Kashona"
ENGLISH,223,Creative Writing,Section 005 (REC),FA 2020,3,Online,"Habash,Gabe"
ENGLISH,223,Creative Writing,Section 007 (REC),FA 2020,3,Online,"Freeman,David"
ENGLISH,223,Creative Writing,Section 009 (REC),FA 2020,3,Online,"Mota, Nadia Marie"
ENGLISH,223,Creative Writing,Section 011 (REC),FA 2020,3,Hybrid,"Ward,David"
ENGLISH,223,Creative Writing,Section 013 (REC),FA 2020,3,Online,"Thomas,Laurie"
ENGLISH,223,Creative Writing,Section 015 (REC),FA 2020,3,Online,"Spooner,Mary"
ENGLISH,225,Academic Argumentation,Section 001 (REC),FA 2020,4,Online,"Sprouse,Michelle Lee"
ENGLISH,225,Academic Argumentation,Section 003 (REC),FA 2020,4,Hybrid,"Smith,Kendon Michael"
ENGLISH,225,Academic Argumentation,Section 005 (REC),FA 2020,4,Online,"Hughes, Sarah"
ENGLISH,225,Academic Argumentation,Section 007 (REC),FA 2020,4,Online,"Taylor III,Charles Lavelle"
ENGLISH,226,Directed Writing,Section 001 (IND),FA 2020,3,Person,
ENGLISH,229,Professional Writing,Section 001 (REC),FA 2020,4,Online,"Wheeler,Kelly Lynn"
ENGLISH,232,Introduction to Visual Culture,Section 001 (LEC) Race and Visual Culture,FA 2020,3,Online,"Nichols,Dana"
ENGLISH,242,Interdisciplinary Studies in English,Section 001 (LEC) Where is the Science in Science Fiction,FA 2020,3,Online,"Makman,Lisa Hermine Instructor: Miller,Jon Matthew"
ENGLISH,270,Introduction to American Literature,Section 001 (LEC) Race and American Fiction,FA 2020,3,Online,"Cohen,Walter I"
ENGLISH,275,Introduction to World Literature in English,Section 001 (LEC) Global Catastrophe and Radical Transformation,FA 2020,3,Online,"Najita,Susan Y"
ENGLISH,282,Native American Literature,Section 001 (LEC),FA 2020,3,Online,"Lyons,Scott Richard"
ENGLISH,290,Themes in Language and Literature,Section 001 (LEC) Representing Wildlife,FA 2020,3,Hybrid,"Coyle,Stacy Gillett"
ENGLISH,290,Themes in Language and Literature,"Section 003 (LEC) THE FUN STUFF: Mysteries, Sci-fi Thrillers, Tales of Horror, and Other Books You Can't Put Down",FA 2020,3,Online,"Byers,Michael Denis"
ENGLISH,290,Themes in Language and Literature,Section 005 (LEC) The Pursuit of Happiness,FA 2020,3,Online,"Gere,Anne Ruggles"
ENGLISH,290,Themes in Language and Literature,Section 007 (LEC),FA 2020,3,Online,
ENGLISH,293,Great Works,Section 002 (LEC) Extraordinary Poets Meets 10/21/20 - 12/10/20. (Drop/Add deadline=11/03/20.).,FA 2020,1,Online,"Whittier-Ferguson,John A"
ENGLISH,298,Introduction to Literary Studies,Section 002 (REC),FA 2020,3,Person,
ENGLISH,298,Introduction to Literary Studies,Section 004 (REC) What's the value? Literature in the Modern World,FA 2020,3,Online,"Hartley,Lucy"
ENGLISH,299,Directed Study,Section 001 (IND),FA 2020,3,Person,
ENGLISH,308,History of the English Language,Section 001 (LEC),FA 2020,3,Hybrid,"Toon,Thomas E"
ENGLISH,313,Topics in Literary Studies,Section 002 (LEC) Virginia Woolf: Life and Writing,FA 2020,3,Online,"Whittier-Ferguson,John A Instructor: Kerwin,Sarah"
ENGLISH,314,Gender and Sexuality Studies in Literature,Section 001 (LEC) Queer Fictions of the Past,FA 2020,3,Online,"Halperin,David M"
ENGLISH,317,Literature and Culture,Section 002 (LEC) The Literature of Medicine,FA 2020,3,Online,"Schoenfeldt,Michael C Instructor: Mueller,Heidi"
ENGLISH,317,Literature and Culture,Section 004 (LEC) The Theatre of US Women?s Liberation,FA 2020,3,Online,"Fitzgerald,Jason"
ENGLISH,319,Literature and Social Change,Section 001 (LEC) What Difference Can a Story Make?,FA 2020,3,Hybrid,"Portnoy,Alisse Suzanne Instructor: Wilson,Rachel"
ENGLISH,321,Internship,Section 097 (IND),FA 2020,1,Person,"Zemgulys,Andrea Patricia"
ENGLISH,323,Creative Writing:  Fiction,Section 001 (SEM),FA 2020,3,Online,"O'Dowd,Patricia T"
ENGLISH,323,Creative Writing:  Fiction,Section 003 (SEM),FA 2020,3,Online,"Trevor, Douglas"
ENGLISH,325,Art of the Essay,Section 001 (SEM) Creative Non-Fiction and Memoir,FA 2020,3,Online,"Khleif,Patricia Laila"
ENGLISH,325,Art of the Essay,Section 003 (SEM),FA 2020,3,Online,"Pinto,James"
ENGLISH,325,Art of the Essay,Section 005 (SEM) Creative Non-Fiction and Memoir,FA 2020,3,Online,"Khleif,Patricia Laila"
ENGLISH,325,Art of the Essay,Section 007 (SEM),FA 2020,3,Online,"Delp,Jaimien Elmasian"
ENGLISH,325,Art of the Essay,Section 009 (SEM),FA 2020,3,Online,"Burch,Aaron Matthew"
ENGLISH,325,Art of the Essay,Section 011 (SEM),FA 2020,3,Online,"Swanson,Fritz Garner"
ENGLISH,325,Art of the Essay,Section 013 (SEM),FA 2020,3,Online,"Pinto,James"
ENGLISH,340,Studies in Poetry,Section 001 (SEM) Poetry Before Print: Medieval Poetry and Manuscript Culture,FA 2020,3,Hybrid,"Sanok,Catherine Instructor: Behrend,Megan"
ENGLISH,344,Writing for Publication/Public Writing,Section 001 (REC) Great Lakes Writers Corps,FA 2020,3,Hybrid,"Beer,Molly"
ENGLISH,345,The New Essay,Section 001 (SEM),FA 2020,3,Online,"Harp,Nicholas Allen"
ENGLISH,346,Performance Studies,Section 001 (REC) European Drama from Ibesen to Beckett,FA 2020,3,Online,"Brater,Enoch"
ENGLISH,350,Literature in English to 1660,Section 001 (LEC) The Human and the Inhuman in the Natural World,FA 2020,4,Online,"Cohen,Walter I"
ENGLISH,361,The Victorian Novel,Section 001 (REC) Fiction and the Meaning of Life,FA 2020,3,Online,"Hack, Daniel"
ENGLISH,363,The Modern Novel,Section 001 (LEC) What Can the Novel Still Do?,FA 2020,3,Online,"Habash,Gabe"
ENGLISH,367,Shakespeare's Principal Plays,Section 001 (LEC),FA 2020,4,Online,"Trevor, Douglas"
ENGLISH,372,Toni Morrison,Section 001 (LEC),FA 2020,3,Hybrid,"Awkward,Michael"
ENGLISH,375,World Literatures in English,Section 001 (LEC),FA 2020,3,Hybrid,"Lahiri,Madhumita"
ENGLISH,389,Literature in African History,Section 001 (SEM),FA 2020,3,Hybrid,"Peterson,Derek R"
ENGLISH,390,Topics in Literary Criticism and Theory,Section 001 (REC) Introduction to Literary Theory: Reading Versus Racism,FA 2020,3,Online,"Lahiri,Madhumita"
ENGLISH,398,Junior Seminar in English Studies,Section 003 (SEM) Women Writers of the Englightenment,FA 2020,4,Online,"Hawes,Clement C"
ENGLISH,407,Topics in English Language and Literature,"Section 001 (SEM) Collaboration, Creativity, Poetry",FA 2020,3,Online,"Kuppers,Petra; homepage"
ENGLISH,407,Topics in English Language and Literature,Section 003 (SEM) Queer Poetics,FA 2020,3,Online,"Knuth,Aric David"
ENGLISH,418,The Graphic Narrative,Section 001 (SEM) World War II in Comics,FA 2020,3,Online,"Brandolino,Gina Marie"
ENGLISH,423,Advanced Fiction Writing,Section 002 (SEM) Building the Linked Story Collection,FA 2020,3,Online,"Byers,Michael Denis"
ENGLISH,425,Advanced Essay Writing,"Section 001 (SEM) Literature, Writing, and Sports",FA 2020,3,Online,"Cicciarelli,Louis A"
ENGLISH,425,Advanced Essay Writing,"Section 003 (SEM) Immersion Writing: Truth, Fact, and Art",FA 2020,3,Online,"Chamberlin,Jeremiah Michael"
ENGLISH,426,Directed Writing,Section 001 (IND),FA 2020,4,Person,
ENGLISH,440,Modern Poetry,Section 001 (REC) Modernist Poetries in the U.S.,FA 2020,3,Online,"White,Gillian Cahill"
ENGLISH,443,History of Theatre I,Section 002 (LEC),FA 2020,3,Person,"Hughes (she/her), Amy E"
ENGLISH,450,Studies in Medieval and Renaissance Literature,Section 001 (REC) Self and Society in Earlier English Literature,FA 2020,3,Online,"Taylor,Karla T"
ENGLISH,460,Studies in the Novel,Section 001 (SEM) Fiction and Reality,FA 2020,3,Online,"Hack, Daniel"
ENGLISH,465,Chaucer: The Canterbury Tales,Section 001 (REC),FA 2020,3,Hybrid,"Sanok,Catherine"
ENGLISH,490,History of Literary Criticism and Theory,Section 001 (REC) In Defense of the Literary: Three Exemplary Positions,FA 2020,3,Person,"Larson,Kerry C"
ENGLISH,498,Directed Teaching,Section 001 (IND),FA 2020,3,Person,
ENGLISH,124,Academic Writing and Literature,Section 002 (REC),FA 2020,4,Online,"Fox,Dory"
